GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sign Maven Plugin,org.simplify4u.plugins.sign.openpgp,PGPSignerException,0,8,0,0,0,4,0,2,0,2
Sign Maven Plugin,org.simplify4u.plugins.sign.openpgp,PGPKeyInfo,14,94,1,1,1,20,1,8,0,8
Sign Maven Plugin,org.simplify4u.plugins.sign.openpgp,PGPSigner,72,147,5,13,16,35,5,10,1,5
Sign Maven Plugin,org.simplify4u.plugins.sign,SignMojo,302,0,14,0,74,0,15,0,8,0
Sign Maven Plugin,org.simplify4u.plugins.sign,HelpMojo,893,0,110,0,159,0,71,0,16,0
Sign Maven Plugin,org.simplify4u.plugins.sign,SignMojoException,8,0,0,0,4,0,2,0,2,0
